Código,Nome,Enderezo,Concello,Provincia,Cód. postal,Teléfono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
36000031,CEIP Antonio Carpintero,"Rúa Miguel Davila, s/n (Consistorio)",Arbo,Pontevedra,36430,886110092,CEIP,42.1129989624023,-8.31356048583984,Pública,Non,Si
36000181,CEIP Amor Ruibal,Perdecanai (Santa María),Barro,Pontevedra,36194,886151996,CEIP,42.5238609313965,-8.63722801208496,Pública,Non,Si
36000247,CPI de Cova Terreña,Dolores Agrelo s/n,Baiona,Pontevedra,36300,886120001,CPI,42.1167030334473,-8.85274887084961,Pública,Non,Si
36000302,CEP de Sabarís,"Avenida Doutor Fariñas, 26 (Sabarís)",Baiona,Pontevedra,36393,886110143,CEP,42.1082534790039,-8.82015514373779,Pública,Non,Si
36000326,CEIP Plurilingüe Montemogos,Rúa Montemogos s/n,Bueu,Pontevedra,36937,886151115,CEIP,42.3256759643555,-8.80828952789307,Pública,Non,Si
36000341,CEIP Plurilingüe A Pedra,Rúa A Pedra 26,Bueu,Pontevedra,36930,886159712,CEIP,42.320629119873,-8.78635597229004,Pública,Non,Si
36000351,CPR Plurilingüe Virgen Milagrosa,Rúa Fontenla 55,Bueu,Pontevedra,36930,986320143,CPR,42.3247680664063,-8.78723907470703,Privada,Si,Non
36000363,ESCO DE FP MARÍTIMO PESQUEIRA,Rúa Pazos Fontenla s/n,Bueu,Pontevedra,36930,986321143,ESCO,42.326904296875,-8.78140830993652,Pública,Non,Non
36000375,CEIP Plurilingüe da Torre-Cela,A Torre 75,Bueu,Pontevedra,36939,886151111,CEIP,42.3280754089355,-8.75938320159912,Pública,Non,Si
36000405,CPI Plurilingüe Alfonso VII,Rúa Jose Salgado 18,Caldas de Reis,Pontevedra,36650,886159005,CPI,42.6039505004883,-8.63724899291992,Pública,Non,Si
36000417,CPR Plurilingüe San Fermín,Rúa Fermín Mosquera 2,Caldas de Reis,Pontevedra,36650,986540075,CPR,42.6041488647461,-8.64716243743897,Privada,Si,Non
36000429,CPR Plurilingüe La Encarnación,Avenida Dolores Mosquera 4,Caldas de Reis,Pontevedra,36650,986540052,CPR,42.6060256958008,-8.64317226409912,Privada,Si,Non
36000478,CEP Antonio Magariños Pastoriza,Avenida Vilariño 29,Cambados,Pontevedra,36630,886151181,CEP,42.5159378051758,-8.81164741516113,Pública,Non,Si
36000481,IES Ramón Cabanillas,Avenida Rosalía Castro s/n,Cambados,Pontevedra,36630,886151913,IES,42.5192909240723,-8.81097602844238,Pública,Non,Si
36000508,CEIP Plurilingüe de Castrelo,Rúa A BOUZA 96,Cambados,Pontevedra,36639,886151171,CEIP,42.4804992675781,-8.80734443664551,Pública,Non,Si
36000569,CPR Salesianos A Mercé,Serantellos 1,Cambados,Pontevedra,36639,986542750,CPR,42.4897727966309,-8.80251598358154,Privada,Si,Non
36000648,CEIP Plurilingüe Enrique Barreiro Piñeiro,Rúa Sineiro,Cambados,Pontevedra,36633,886151188,CEIP,42.5181045532226,-8.79263496398926,Pública,Non,Si
36000685,CEIP Plurilingüe Pedro Antonio Cerviño,A Lagoa,Campo Lameiro,Pontevedra,36110,886151205,CEIP,42.542350769043,-8.54333686828613,Pública,Non,Si
36000831,CPR Plurilingüe Sagrada Familia,Avenida Xose Graña 44,Cangas,Pontevedra,36945,986329575,CPR,42.2810478210449,-8.81935024261475,Privada,Si,Non
36000843,EMUSPR Agrupación Musical do Rosal,Rúa Couso s/n - Auditorio do Concello,O Rosal,Pontevedra,36770,986626130,EMUSPR,41.9351463317871,-8.83549022674561,Privada,Non,Non
36000867,EMUSPR Atlántida,"Rúa dos Canteiros, 53 - Matama",Vigo,Pontevedra,36213,986236389,EMUSPR,42.2012214660644,-8.73391628265381,Privada,Non,Non
36000879,CEIP Nazaret,Rúa REAL-NAZARET s/n,Cangas,Pontevedra,36940,886120344,CEIP,42.2649421691894,-8.7860918045044,Pública,Non,Si
36000910,CPR Plurilingüe Casa de la Virgen,Rúa Rodeira 12,Cangas,Pontevedra,36940,986392313,CPR,42.2612953186035,-8.7660493850708,Privada,Si,Non
36000922,IES María Soliño,Monte Carrasco 3,Cangas,Pontevedra,36940,886120012,IES,42.2775192260742,-8.79150199890137,Pública,Non,Si
36000934,CEIP Plurilingüe do Castrillón-Coiro,Rúa O Castrillón s/n,Cangas,Pontevedra,36947,886110172,CEIP,42.2748069763184,-8.77177810668945,Pública,Non,Si
36001008,CPR Plurilingüe Compañía de María,"Rúa Enseñanza, 19 - Cima de Vila",Cangas,Pontevedra,36940,986300580,CPR,42.267894744873,-8.78725528717041,Privada,Si,Non
36001033,CEIP Plurilingüe de San Roque de Darbo,Rúa San Roque Darbo,Cangas,Pontevedra,36940,886120954,CEIP,42.2565002441406,-8.79510307312012,Pública,Non,Si
36001057,CEIP do Hío,Rúa Antonio Graña 27,Cangas,Pontevedra,36948,886110182,CEIP,42.2666320800781,-8.8254976272583,Pública,Non,Si
36001148,CPI da Cañiza,Acceso o Parque s/n,A Cañiza,Pontevedra,36880,886120020,CPI,42.2185020446777,-8.28129768371582,Pública,Non,Si
36001240,EEI de Dimo,Dimo (San Pedro),Catoira,Pontevedra,36612,636456887,EEI,42.6692008972168,-8.69542121887207,Pública,Non,Si
36001252,CPI do Progreso,"Paseo das Lombas, 2 (O Progreso)",Catoira,Pontevedra,36612,886159201,CPI,42.6706008911133,-8.72296237945557,Pública,Non,Si
36001343,CEIP Plurilingüe San Xoán Bautista,"Rúa das Longas, 23 (Cerdedo)",Cerdedo-Cotobade,Pontevedra,36139,986753053,CEIP,42.533561706543,-8.38903713226318,Pública,Non,Si
36001550,CEIP Plurilingüe de Carballedo,Cuqueira s/n,Cerdedo-Cotobade,Pontevedra,36856,886151213,CEIP,42.4747200012207,-8.47629642486572,Pública,Non,Si
36001562,EMUSPR Unión de Guláns,O Casal 31,Ponteareas,Pontevedra,36861,986661197,EMUSPR,42.1543045043945,-8.53880214691162,Privada,Non,Non
36001665,CEIP Plurilingüe de Tenorio,O Rio Tenorio,Cerdedo-Cotobade,Pontevedra,36120,886151217,CEIP,42.4626502990723,-8.5607328414917,Pública,Non,Si
36001690,CEIP Antonio Blanco Rodríguez,Rúa Lamela 6,Covelo,Pontevedra,36872,886110389,CEIP,42.2310371398926,-8.36544418334961,Pública,Non,Si
36001707,CEIP Plurilingüe Manuel Sieiro,Estrada GARCIA NEIRA 23,Crecente,Pontevedra,36420,886110194,CEIP,42.1474418640137,-8.22365188598633,Pública,Non,Si
36001975,CEIP Plurilingüe Pío Cabanillas Gallas,Rúa O Castro,Dozón,Pontevedra,36518,986780472,CEIP,42.5683212280273,-8.04797077178955,Pública,Non,Si
36002220,CEIP Cabada Vázquez,Codeseda (San Xurxo),A Estrada,Pontevedra,36684,886151042,CEIP,42.6177787780762,-8.44496059417725,Pública,Non,Si
36002323,CPR Plurilingüe Nuestra Señora de Lourdes,Rúa do Cruceiro 32,A Estrada,Pontevedra,36680,986570874,CPR,42.6913681030273,-8.49327754974365,Privada,Si,Non
36002335,IES Manuel García Barros,Rúa da Cultura s/n,A Estrada,Pontevedra,36681,886152100,IES,-8.50390338900002,42.692512512,Pública,Non,Si
36002347,CEIP Pérez Viondi,Rúa PEREZ VIONDI 46,A Estrada,Pontevedra,36680,886151028,CEIP,42.6870880126953,-8.4915885925293,Pública,Non,Si
36002359,IES Plurilingüe Antón Losada Diéguez,Rúa da Cultura s/n,A Estrada,Pontevedra,36680,886151924,IES,42.6928901672363,-8.50511169433594,Pública,Non,Si
36002773,CEIP do Foxo,Rúa Foxo s/n,A Estrada,Pontevedra,36686,886151046,CEIP,42.7044486999512,-8.40884780883789,Pública,Non,Si
36003111,CEIP Nosa Señora das Dores,Rúa MALEITAS s/n,Forcarei,Pontevedra,36550,886151968,CEIP,42.5850601196289,-8.35513114929199,Pública,Non,Si
36003170,CEIP de Soutelo de Montes,Soutelo de Montes,Forcarei,Pontevedra,36560,886151237,CEIP,42.5349426269531,-8.29500389099121,Pública,Non,Si
36003388,CEIP Doutor Suárez,Rúa das Escolas 7,Fornelos de Montes,Pontevedra,36847,886151241,CEIP,42.341194152832,-8.45259475708008,Pública,Non,Si
36003480,CEIP Plurilingüe de Agolada,Avenida do IRYDA (Agolada) 20,Agolada,Pontevedra,36520,886151078,CEIP,42.7617645263672,-8.02247619628906,Pública,Non,Si
