Código,Nome,Enderezo,Concello,Provincia,Cód. postal,Teléfono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
27000010,CEIP Aquilino Iglesia Alvariño,Praza do Concello s/n,Abadín,Lugo,27730,982870044,CEIP,43.363883972168,-7.47536468505859,Pública,Non,Si
27000198,CEIP Plurilingüe de Antas de Ulla,Rúa Miguel Ángel Blanco s/n,Antas de Ulla,Lugo,27570,982829210,CEIP,42.7846908569336,-7.89009857177734,Pública,Non,Si
27000319,CEIP Plurilingüe Concepción López Rey,"Rúa Doutor Nogueira, s/n (O Cadavo)",Baleira,Lugo,27130,982870067,CEIP,43.0135459899902,-7.24675464630127,Pública,Non,Si
27000541,CEIP San Miguel de Reinante Barreiros,O Souto s/n,Barreiros,Lugo,27793,982870085,CEIP,43.543140411377,-7.19203758239746,Pública,Non,Si
27000617,CFEA de Becerreá,Paraxe Penamaior s/n,Becerreá,Lugo,27695,982828367,CFEA,42.8631134033203,-7.1864800453186,Pública,Non,Non
27000629,CEIP Plurilingüe San Xoán,Rúa Castelo s/n,Becerreá,Lugo,27640,982828162,CEIP,42.859504699707,-7.16528558731079,Pública,Non,Si
27000897,CEIP Plurilingüe Virxe do Corpiño,Rúa Igrexa,Begonte,Lugo,27373,982870089,CEIP,43.1488418579101,-7.67859601974487,Pública,Non,Si
27001087,CEIP Rosalía de Castro,Casas Novas S/N,Bóveda,Lugo,27340,982870095,CEIP,42.6292839050293,-7.47936344146729,Pública,Non,Si
27001269,ESMU Municipal de Guitiriz,Rúa Ferrol s/n,Guitiriz,Lugo,27300,982370109,ESMU,43.1814575195312,-7.90184783935547,Pública,Non,Non
27001440,CEIP Xosé Luís Taboada,A Barrela,Carballedo,Lugo,27520,982870140,CEIP,42.5364761352539,-7.81153154373169,Pública,Non,Si
27001609,CEIP Ramón Falcón,Avenida Alcalde Emilio Sinde Nieto s/n,Castro de Rei,Lugo,27250,982870170,CEIP,43.2058868408203,-7.39520835876465,Pública,Non,Si
27001816,CEIP Veleiro-Docampo,Avenida da Terra Cha (Castro Ribeiras de Lea),Castro de Rei,Lugo,27260,982828125,CEIP,43.1483497619629,-7.49011182785034,Pública,Non,Si
27002249,CPI Plurilingüe de Castroverde,Rúa dos Nenos s/n,Castroverde,Lugo,27120,982870175,CPI,43.0309104919434,-7.3233757019043,Pública,Non,Si
27002353,CPI de Cervantes,Rúa dos Colexios s/n,Cervantes,Lugo,27664,982828940,CPI,42.8685684204101,-7.0628399848938,Pública,Non,Si
