,dia,pais,contaxios,mortes
0,2021-01-01,Spain,18047,148
1,2021-01-02,Spain,0,0
2,2021-01-03,Spain,0,0
3,2021-01-04,Spain,30579,241
4,2021-01-05,Spain,23700,352
5,2021-01-06,Spain,0,0
6,2021-01-07,Spain,42360,245
7,2021-01-08,Spain,25456,199
8,2021-01-09,Spain,0,0
9,2021-01-10,Spain,0,0
10,2021-01-11,Spain,61422,401
11,2021-01-12,Spain,25438,408
12,2021-01-13,Spain,38869,195
13,2021-01-14,Spain,35878,201
14,2021-01-15,Spain,40197,235
15,2021-01-16,Spain,0,0
16,2021-01-17,Spain,0,0
17,2021-01-18,Spain,84287,455
18,2021-01-19,Spain,34291,404
19,2021-01-20,Spain,41576,464
20,2021-01-21,Spain,44357,404
21,2021-01-22,Spain,42885,400
22,2021-01-23,Spain,0,0
23,2021-01-24,Spain,0,0
24,2021-01-25,Spain,93822,767
25,2021-01-26,Spain,36435,586
26,2021-01-27,Spain,40285,497
27,2021-01-28,Spain,34899,515
28,2021-01-29,Spain,38118,513
29,2021-01-30,Spain,0,0
30,2021-01-31,Spain,0,0
31,2021-02-01,Spain,79686,762
32,2021-02-02,Spain,29064,724
33,2021-02-03,Spain,31596,565
34,2021-02-04,Spain,29960,432
35,2021-02-05,Spain,28565,584
36,2021-02-06,Spain,0,0
37,2021-02-07,Spain,0,0
38,2021-02-08,Spain,47095,909
39,2021-02-09,Spain,16402,766
40,2021-02-10,Spain,18114,643
41,2021-02-11,Spain,17853,513
42,2021-02-12,Spain,14581,530
43,2021-02-13,Spain,0,0
44,2021-02-14,Spain,0,0
45,2021-02-15,Spain,30251,702
46,2021-02-16,Spain,10057,530
47,2021-02-17,Spain,10829,337
48,2021-02-18,Spain,14515,388
49,2021-02-19,Spain,11435,397
50,2021-02-20,Spain,0,0
51,2021-02-21,Spain,0,0
52,2021-02-22,Spain,20849,535
53,2021-02-23,Spain,7461,443
54,2021-02-24,Spain,9212,389
55,2021-02-25,Spain,9568,345
