,Name,User rating %,Value %,Avg. Bench %,Memory Pts,8-Core Pts,Mkt. share %,Age months,Price €,fecha,cuartil,año,Q_año
1,Intel Core i5-13600K,103,112,122,83.9,1454,0.59,17,319,2022-11-21 18:42:51.754560,Q4,2022,Q4 2022
2,Intel Core i5-12400F,98,114,98,81.6,974,1.77,27,136,2022-01-25 18:42:51.754560,Q1,2022,Q1 2022
3,Intel Core i3-12100F,98,121,94.1,83.8,788,0.41,27,96,2022-01-25 18:42:51.754560,Q1,2022,Q1 2022
4,Intel Core i5-12600K,98,113,109,80,1223,0.83,29,210,2021-11-26 18:42:51.754560,Q4,2021,Q4 2021
5,Intel Core i7-13700K,96,109,126,84.7,1676,1.09,17,404,2022-11-21 18:42:51.754560,Q4,2022,Q4 2022
6,AMD Ryzen 5 3600,95,106,83.1,76.3,792,1.28,57,100,2019-08-09 18:42:51.754560,Q3,2019,Q3 2019
7,Intel Core i9-13900K,95,100,129,85.1,1739,0.87,17,593,2022-11-21 18:42:51.754560,Q4,2022,Q4 2022
8,Intel Core i5-13600KF,95,116,122,84.2,1443,0.69,17,287,2022-11-21 18:42:51.754560,Q4,2022,Q4 2022
9,AMD Ryzen 5 5600X,94,109,95.9,84,883,1.21,41,151,2020-12-01 18:42:51.754560,Q4,2020,Q4 2020
10,Intel Core i5-9600K,93,110,93.2,91,688,1.15,65,129,2018-12-12 18:42:51.754560,Q4,2018,Q4 2018
11,Intel Core i7-11700K,93,98.1,101,88,1075,0.59,37,268,2021-03-31 18:42:51.754560,Q1,2021,Q1 2021
12,Intel Core i7-9700K,92,97.3,96.9,90.9,964,1.84,65,235,2018-12-12 18:42:51.754560,Q4,2018,Q4 2018
13,Intel Core i5-12400,92,108,98.2,80.7,973,0.43,27,167,2022-01-25 18:42:51.754560,Q1,2022,Q1 2022
14,Intel Core i3-12100,91,113,94,83.4,790,0.12,27,122,2022-01-25 18:42:51.754560,Q1,2022,Q1 2022
15,Intel Core i5-13400F,91,111,106,83.6,1141,0.7,15,200,2023-01-20 18:42:51.754560,Q1,2023,Q1 2023
16,Intel Core i3-10100,90,103,79.9,85.3,596,0.18,47,95,2020-06-04 18:42:51.754560,Q2,2020,Q2 2020
17,Intel Core i5-11400F,90,0,94.2,87.2,855,0.8,36,,2021-04-30 18:42:51.754560,Q2,2021,Q2 2021
18,Intel Core i5-11600K,90,102,99.3,88.4,945,0.33,36,221,2021-04-30 18:42:51.754560,Q2,2021,Q2 2021
19,Intel Core i3-10100F,90,0,80.4,87.7,588,0.3,41,,2020-12-01 18:42:51.754560,Q4,2020,Q4 2020
20,Intel Core i7-12700K,90,108,114,81.7,1407,1.13,29,290,2021-11-26 18:42:51.754560,Q4,2021,Q4 2021
21,AMD Ryzen 7 7800X3D,90,100,117,95.8,1333,0.67,12,420,2023-04-20 18:42:51.754560,Q2,2023,Q2 2023
22,Intel Core i5-14600K,90,112,124,82.3,1506,0.24,5,345,2023-11-16 18:42:51.754560,Q4,2023,Q4 2023
23,AMD Ryzen 7 3700X,89,84.4,85.9,76.2,900,0.71,57,256,2019-08-09 18:42:51.754560,Q3,2019,Q3 2019
24,Intel Core i7-10700K,89,93.4,96.5,91.1,969,0.88,47,269,2020-06-04 18:42:51.754560,Q2,2020,Q2 2020
25,Intel Core i5-10600K,89,100,92.2,90.5,825,0.35,47,178,2020-06-04 18:42:51.754560,Q2,2020,Q2 2020
26,AMD Ryzen 7 5800X,89,101,98.1,82.4,1044,0.9,41,219,2020-12-01 18:42:51.754560,Q4,2020,Q4 2020
27,Intel Core i5-11400,89,0,94.2,86.1,852,0.32,36,,2021-04-30 18:42:51.754560,Q2,2021,Q2 2021
28,Intel Core i7-4790K,88,0,78.9,88.1,560,0.69,118,,2014-08-05 18:42:51.754560,Q3,2014,Q3 2014
29,Intel Core i5-10400F,88,0,85.2,89.6,715,1.51,47,,2020-06-04 18:42:51.754560,Q2,2020,Q2 2020
30,Intel Core i5-10600KF,88,111,91.9,90.7,818,0.21,45,122,2020-08-03 18:42:51.754560,Q3,2020,Q3 2020
31,Intel Core i7-14700K,88,109,130,86.8,1739,0.96,5,449,2023-11-16 18:42:51.754560,Q4,2023,Q4 2023
32,Intel Core i3-13100F,87,114,96,83.2,828,0.07,15,128,2023-01-20 18:42:51.754560,Q1,2023,Q1 2023
33,Intel Core i9-9900K,86,80.8,97.9,93.1,981,1.35,65,480,2018-12-12 18:42:51.754560,Q4,2018,Q4 2018
34,Intel Core i5-9400F,86,108,84.8,87.8,589,1.56,62,99,2019-03-12 18:42:51.754560,Q1,2019,Q1 2019
35,Intel Core i3-9100F,85,0,80.1,88,423,0.39,60,,2019-05-11 18:42:51.754560,Q2,2019,Q2 2019
36,Intel Core i5-10400,85,0,84.5,86.6,722,0.62,47,,2020-06-04 18:42:51.754560,Q2,2020,Q2 2020
37,Intel Core i5-13500,85,109,113,84.9,1283,0.17,15,269,2023-01-20 18:42:51.754560,Q1,2023,Q1 2023
38,AMD Ryzen 5 2600X,84,0,74,76.4,643,0.17,71,,2018-06-15 18:42:51.754560,Q2,2018,Q2 2018
39,Intel Core i9-12900K,84,101,117,80.8,1516,0.93,29,402,2021-11-26 18:42:51.754560,Q4,2021,Q4 2021
40,Intel Core i7-7700K,83,0,84.2,89.6,647,1.19,87,,2017-02-20 18:42:51.754560,Q1,2017,Q1 2017
41,Intel Core i5-9600KF,82,110,93.2,91.4,686,0.3,60,129,2019-05-11 18:42:51.754560,Q2,2019,Q2 2019
42,AMD Ryzen 5 7600X,82,111,110,84,1152,0.27,18,232,2022-10-22 18:42:51.754560,Q4,2022,Q4 2022
43,Intel Core i7-8700K,80,94.3,88.4,90.1,770,1.48,78,189,2017-11-17 18:42:51.754560,Q4,2017,Q4 2017
44,Intel Core i7-6700K,78,92.1,80.8,88.6,597,0.98,104,149,2015-09-29 18:42:51.754560,Q3,2015,Q3 2015
45,Intel Core i5-8600K,78,86.9,90.7,90.1,656,0.57,78,279,2017-11-17 18:42:51.754560,Q4,2017,Q4 2017
46,AMD Ryzen 5 3400G,78,85.4,68.1,69.6,550,0.1,57,105,2019-08-09 18:42:51.754560,Q3,2019,Q3 2019
