,Graphics card,Type,Performance,Architecture,Year,Price now,TDP
0,GeForce RTX 4090,desktop,100.00,Ada Lovelace,2022,1756 USD,450 W
1,GeForce RTX 4080,desktop,89.40,Ada Lovelace,2022,1451 USD,320 W
2,GeForce RTX 4080 SUPER,desktop,88.36,Ada Lovelace,2024,−,320 W
3,GeForce RTX 4070 Ti,desktop,81.99,Ada Lovelace,2023,837 USD,285 W
4,GeForce RTX 4070 Ti SUPER,desktop,81.92,Ada Lovelace,2024,−,285 W
5,Radeon RX 7900 XTX,desktop,79.89,RDNA 3,2022,859 USD,355 W
6,GeForce RTX 4070 SUPER,desktop,77.57,Ada Lovelace,2024,−,285 W
7,GeForce RTX 3090 Ti,desktop,76.82,Ampere,2022,1251 USD,450 W
8,RTX 4500 Ada Generation,desktop,76.65,Ada Lovelace,2023,−,130 W
9,GeForce RTX 4090 D,desktop,75.93,Ada Lovelace,2023,−,425 W
10,Radeon PRO W7900,workstation,75.51,RDNA 3.0,2023,4649 USD,295 W
11,Radeon PRO W7800,workstation,74.82,RDNA 3.0,2023,3907 USD,260 W
12,Radeon RX 7900 XT,desktop,74.43,RDNA 3,2022,884 USD,315 W
13,Radeon RX 6950 XT,desktop,73.11,Navi / RDNA2,2022,961 USD,335 W
14,RTX 6000 Ada Generation,desktop,72.58,Ada Lovelace,2022,−,300 W
15,GeForce RTX 3080 Ti,desktop,70.28,Ampere,2020,1135 USD,350 W
16,GeForce RTX 4070,desktop,69.76,Ada Lovelace,2023,791 USD,200 W
17,Radeon RX 6900 XT,desktop,69.32,Navi / RDNA2,2020,957 USD,300 W
18,GeForce RTX 3090,desktop,69.26,Ampere,2020,1198 USD,350 W
19,GeForce RTX 3080 12 GB,desktop,69.05,Ampere,2022,1053 USD,350 W
20,Radeon RX 7900 GRE,desktop,68.35,RDNA 3,2023,−,260 W
21,RTX 4000 Ada Generation,desktop,66.92,Ada Lovelace,2023,−,130 W
22,GeForce RTX 3080,desktop,65.37,Ampere,2020,823 USD,320 W
23,Radeon RX 6800 XT,desktop,64.79,Navi / RDNA2,2020,696 USD,300 W
24,RTX 5000 Ada Generation,desktop,62.39,Ada Lovelace,2023,−,250 W
25,Radeon RX 7800 XT,desktop,62.00,RDNA 3,2023,−,300 W
26,GeForce RTX 3070 Ti,desktop,61.10,Ampere,2021,757 USD,290 W
27,GeForce RTX 4060 Ti,desktop,59.19,Ada Lovelace,2023,461 USD,160 W
28,RTX A5000,workstation,59.13,Ampere,2021,3327 USD,230 W
29,GeForce RTX 3070,desktop,57.86,Ampere,2020,662 USD,220 W
30,Radeon RX 7900M,notebook,57.85,RDNA 3,−,−,180 W
31,Radeon RX 6800,desktop,57.62,Navi / RDNA2,2020,781 USD,250 W
32,RTX A4500,workstation,56.23,Ampere,2021,2591 USD,200 W
33,GeForce RTX 2080 Ti,desktop,56.23,Turing,2018,297 USD,270 W
34,Radeon RX 7700 XT,desktop,55.54,RDNA 3,2023,−,245 W
35,RTX A5500,desktop,54.52,Ampere,2022,3965 USD,230 W
36,Radeon RX 6750 XT,desktop,53.70,Navi / RDNA2,2022,559 USD,250 W
37,GeForce RTX 4090 Mobile,notebook,53.48,Ada Lovelace,2023,−,150 W
38,Radeon PRO W7700,workstation,53.46,RDNA 3.0,2023,−,190 W
39,Radeon RX 6750 GRE 10 GB,desktop,53.29,RDNA 2.0,2023,−,170 W
40,RTX 4000 SFF Ada Generation,desktop,53.11,Ada Lovelace,2023,−,70 W
41,GeForce RTX 3060 Ti,desktop,53.07,Ampere,2020,361 USD,220 W
42,GeForce RTX 4080 Mobile,notebook,52.45,Ada Lovelace,2023,−,150 W
43,GeForce RTX 4060 Ti 8G,desktop,52.39,Ada Lovelace,2023,424 USD,160 W
44,RTX 5000 Ada Generation Mobile,notebook,52.17,Ada Lovelace,2023,−,150 W
45,Quadro GV100,workstation,51.68,Volta,2018,5183 USD,250 W
46,Radeon Pro W6800,workstation,51.42,Navi / RDNA2,2021,1990 USD,250 W
47,Radeon RX 6700 XT,desktop,51.34,Navi / RDNA2,2021,685 USD,230 W
48,GeForce RTX 4060,desktop,50.68,Ada Lovelace,2023,340 USD,115 W
49,GeForce RTX 2080 Super,desktop,50.61,Turing,2019,599 USD,250 W
50,RTX A4000,workstation,50.15,Ampere,2021,1112 USD,140 W
51,TITAN Xp,desktop,50.14,Pascal,2017,174 USD,250 W
52,Quadro RTX 8000,workstation,50.00,Turing,2018,3230 USD,260 W
53,RTX 2000 Ada Generation,desktop,49.51,Ada Lovelace,2024,−,70 W
