date,country,money,latitude,longitude
2020,Taiwan,"3.025.000.000,00",23.6978,120.9605
2020,China,"2.731.000.000,00",35.8617,104.1954
2020,U.S,"886.000.000,00",37.0902,-95.7129
2021,Taiwan,"4.531.000.000,00",23.6978,120.9605
2021,China,"3.886.000.000,00",35.8617,104.1954
2021,U.S,"3.214.000.000,00",37.0902,-95.7129
2022,Taiwan,"8.544.000.000,00",23.6978,120.9605
2022,China,"7.111.000.000,00",35.8617,104.1954
2022,U.S,"4.349.000.000,00",37.0902,-95.7129
2023,Taiwan,"6.986.000.000,00",23.6978,120.9605
2023,China,"5.785.000.000,00",35.8617,104.1954
2023,U.S,"8.292.000.000,00",37.0902,-95.7129
