Código,Nome,Enderezo,Concello,Provincia,Cód. postal,Teléfono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
32000058,CEIP Padre Feijoo,Estrada de Xunqueira s/n,Allariz,Ourense,32660,988440825,CEIP,42.1903228759766,-7.79439067840576,Pública,Non,Si
32000101,ESMU Municipal de Allariz,Praza Maior 1,Allariz,Ourense,32660,988440859,ESMU,42.1899719238281,-7.80199098587036,Pública,Non,Non
32000113,ESMU Municipal de Ribadavia,Rúa Redondela s/n,Ribadavia,Ourense,32400,988471900,ESMU,42.2855491638184,-8.1453971862793,Pública,Non,Non
32000356,CEIP Plurilingüe Ramón Otero Pedrayo,Rúa Souto S/N,Amoeiro,Ourense,32170,988788990,CEIP,42.4152107238769,-7.94676303863525,Pública,Non,Si
32000708,CEIP Virxe de Guadalupe,"Rúa Cendones, 15 (San Xusto)",Avión,Ourense,32520,988486178,CEIP,42.3748970031738,-8.24669933319092,Pública,Non,Si
32001002,CEIP Xoaquín Lourenzo Xocas,Rúa Outeiro s/n,Bande,Ourense,32840,988788025,CEIP,42.0332221984863,-7.97187376022339,Pública,Non,Si
32001312,CEIP de Baños de Molgas,Estrada de Salgueiros s/n,Baños de Molgas,Ourense,32701,988430268,CEIP,42.2459182739258,-7.6721076965332,Pública,Non,Si
32001658,CEIP Plurilingüe Julio Gurriarán Canalejas,Rúa Lugo 2,O Barco de Valdeorras,Ourense,32300,988320880,CEIP,42.4165725708008,-6.99294805526733,Pública,Non,Si
32001661,CPR Plurilingüe Divina Pastora,Rúa Ramon del Valle Inclan 2,O Barco de Valdeorras,Ourense,32300,988347058,CPR,42.4194183349609,-6.98121070861816,Privada,Si,Non
32001671,CEIP Ramón Otero Pedrayo,Rúa Elena Quiroga 7,O Barco de Valdeorras,Ourense,32300,988320163,CEIP,42.4116554260254,-6.97821760177612,Pública,Non,Si
32001683,IES Martaguisela,Rúa A Coruña 22,O Barco de Valdeorras,Ourense,32300,988320931,IES,42.4156150817871,-6.9933876991272,Pública,Non,Si
32001725,IES Lauro Olmo,Rúa Calabagueiros s/n,O Barco de Valdeorras,Ourense,32300,988320175,IES,42.416187286377,-6.99511528015137,Pública,Non,Si
32001920,CEIP de Beariz,Avenida Daniel Vázquez Gulías s/n,Beariz,Ourense,32520,988284223,CEIP,42.4716033935547,-8.27821350097656,Pública,Non,Si
32002043,CEIP Plurilingüe dos Blancos,Os Blancos,Os Blancos,Ourense,32634,988467523,CEIP,41.9961242675781,-7.75383520126343,Pública,Non,Si
32002122,CEIP Nosa Señora de Xuvencos,Rúa Evaristo Riande s/n,Boborás,Ourense,32514,988402022,CEIP,42.4345779418945,-8.14213752746582,Pública,Non,Si
32002781,CPI Tomás Terrón Mendaña,Sobradelo,Carballeda de Valdeorras,Ourense,32330,988335065,CPI,42.4167785644531,-6.9248628616333,Pública,Non,Si
32002951,CEIP Plurilingüe Calvo Sotelo,"Avenida de Compostela, s/n (Uceira)",O Carballiño,Ourense,32500,988271419,CEIP,42.4389877319336,-8.06108951568604,Pública,Non,Si
32002973,CPR Plurilingüe Sagrado Corazón,Praza Irmans Prieto 7,O Carballiño,Ourense,32500,988270194,CPR,42.4302978515625,-8.07863616943359,Privada,Si,Non
32003001,IES Nº 1,Rúa Alberto Vilanova s/n,O Carballiño,Ourense,32500,988788985,IES,42.4252319335938,-8.06990909576416,Pública,Non,Si
32003059,CEIP San Marcos,Rúa Bandeira 1,Cartelle,Ourense,32820,988783640,CEIP,42.2515068054199,-8.0668888092041,Pública,Non,Si
32003503,CEIP de Castrelo de Miño,Astariz (Santa María),Castrelo de Miño,Ourense,32230,988489090,CEIP,42.3221626281738,-8.04367160797119,Pública,Non,Si
32003643,CPI Virxe dos Remedios,O Toural,Castro Caldelas,Ourense,32760,988687830,CPI,-7.41466093000003,42.371234894,Pública,Non,Si
32003771,CEIP Plurilingüe Curros Enríquez,Avenida Miguel Ángel Blanco s/n,Celanova,Ourense,32800,988788068,CEIP,42.1596870422363,-7.95757246017456,Pública,Non,Si
32003783,CPR Plurilingüe Sagrado Corazón,Rúa Areal 13,Celanova,Ourense,32800,988431516,CPR,42.1500434875488,-7.9596700668335,Privada,Si,Non
32004118,CPI Plurilingüe Antonio Faílde,Entrada Nacional 525,Coles,Ourense,32100,988202017,CPI,42.4103698730469,-7.86555624008179,Pública,Non,Si
32004398,CEIP Vicente Risco,Estrada de Xinzo,Cualedro,Ourense,32689,988424005,CEIP,41.9883766174316,-7.59509325027466,Pública,Non,Si
32004829,CEIP Rosalía de Castro,Rúa Rosalia de Castro,Xinzo de Limia,Ourense,32630,988460480,CEIP,42.0597114562988,-7.7210283279419,Pública,Non,Si
32004830,CEIP Carlos Casares,Rúa Marcelo Macias 59,Xinzo de Limia,Ourense,32630,988788456,CEIP,42.0662002563476,-7.72092628479004,Pública,Non,Si
32005305,CPI Plurilingüe Laureano Prieto,Rúa Toural,A Gudiña,Ourense,32540,988421140,CPI,42.0620765686035,-7.13604927062988,Pública,Non,Si
32005408,CEIP Virxe da Pena da Sela,Campo (Santa María),O Irixo,Ourense,32530,988287411,CEIP,42.5156059265137,-8.12145233154297,Pública,Non,Si
32005691,CEIP Padre Crespo,Xunqueira De Ambía (Santa María A Real),Xunqueira de Ambía,Ourense,32670,988436063,CEIP,42.2028923034668,-7.73155307769775,Pública,Non,Si
32006000,CEIP Emilia Pardo Bazán,Leiro (San Pedro),Leiro,Ourense,32420,988488178,CEIP,42.3685302734375,-8.12808990478516,Pública,Non,Si
32006358,CEIP Plurilingüe do Xurés,Rúa Paraño 31,Lobios,Ourense,32870,988448007,CEIP,41.9014930725098,-8.08076095581055,Pública,Non,Si
32006553,CEIP Plurilingüe de Maceda,Rúa  do Castelo 2,Maceda,Ourense,32700,988788890,CEIP,42.2704925537109,-7.65454721450806,Pública,Non,Si
32006747,CEIP de Manzaneda,Rúa Do Pendon s/n,Manzaneda,Ourense,32781,988333050,CEIP,42.3088150024414,-7.23228693008423,Pública,Non,Si
32006929,CPI Terras de Maside,Rúa OUTEIRO GRANDE,Maside,Ourense,32570,988685001,CPI,42.4170112609863,-8.03458595275879,Pública,Non,Si
32007272,CEIP Augusto Assía,A Mezquita,A Mezquita,Ourense,32549,988425526,CEIP,42.0152587890625,-7.04890966415405,Pública,Non,Si
32007739,CEIP Valle-Inclán,"Rúa Otero Pedrayo, s/n (Mugueimes)",Muíños,Ourense,32880,988456423,CEIP,41.9571990966797,-7.97714710235596,Pública,Non,Si
32008033,CEIP Plurilingüe de Luíntra,Carretera de San Estevo,Nogueira de Ramuín,Ourense,32160,988201047,CEIP,42.4102592468262,-7.72351741790772,Pública,Non,Si
32008173,CEIP de Oímbra,Rúa GRUPO ESCOLAR 16,Oímbra,Ourense,32613,988426201,CEIP,41.8868522644043,-7.46427011489868,Pública,Non,Si
32008392,CEIP Plurilingüe Inmaculada,Rúa Inmaculada 22,Ourense,Ourense,32005,988224586,CEIP,42.3315467834473,-7.85645055770874,Pública,Non,Si
32008410,CPR Plurilingüe Santo Ángel,Vila Real 6,Ourense,Ourense,32002,988220487,CPR,42.3393211364746,-7.87172269821167,Privada,Si,Non
32008446,CPR Plurilingüe Concepción Arenal,Rúa BEDOYA 22,Ourense,Ourense,32004,988220200,CPR,42.3391418457031,-7.86070728302002,Privada,Si,Non
32008458,CPR Plurilingüe María Auxiliadora,Praza DE DON BOSCO 1,Ourense,Ourense,32003,988370537,CPR,42.3440704345703,-7.86773443222046,Privada,Si,Non
32008513,CPR Plurilingüe Santa Teresa de Jesús,Peña Trevinca 2,Ourense,Ourense,32005,988221536,CPR,42.3362045288086,-7.86114692687988,Privada,Si,Non
32008525,CPR Plurilingüe Divina Pastora,Rúa CARDENAL QUEVEDO 27,Ourense,Ourense,32004,988232232,CPR,42.3428268432617,-7.861168384552,Privada,Si,Non
32008550,CPR Plurilingüe San José,Rúa do Progreso 24,Ourense,Ourense,32005,988220990,CPR,42.3339157104492,-7.86562633514404,Privada,Si,Non
32008604,CPR Plurilingüe Santa María,Rúa BEDOYA 9,Ourense,Ourense,32004,988228152,CPR,42.3404579162598,-7.86215019226074,Privada,Si,Non
32008616,CPR Plurilingüe Padre Feijoo Zorelle,Doutor Fleming 21,Ourense,Ourense,32003,988230401,CPR,42.3375740051269,-7.86744499206543,Privada,Si,Non
32008665,CPR Plurilingüe Divino Maestro,Rúa Madre Soledad 1,Ourense,Ourense,32001,988217800,CPR,42.3553733825684,-7.86459112167358,Privada,Si,Non
32008707,CPR Plurilingüe La Purísima,Rúa Santo Domingo 32,Ourense,Ourense,32003,988221541,CPR,42.3386116027832,-7.86315584182739,Privada,Si,Non
32008768,CEIP O Couto,Rampa de Sas,Ourense,Ourense,32002,988783060,CEIP,42.3366851806641,-7.87435150146484,Pública,Non,Si
32008771,CEIP de Práct. da E.U. Form. Profes. EXB,Rúa VICENTE RISCO 9,Ourense,Ourense,32001,988218441,CEIP,42.3483009338379,-7.8673586845398,Pública,Non,Si
32008793,CEIP Manuel Luís Acuña,Rúa do Hórreo 11,Ourense,Ourense,32002,988243751,CEIP,42.3330192565918,-7.87517738342285,Pública,Non,Si
